,Num_Acc,lum,agg,atm,col,lat,long,datetime
1972,202100045803,1,2,1,3,48.81254,2.36834,2021-03-31 18:40:00
1973,202100045804,5,2,1,7,48.766733,2.354028,2021-03-31 21:15:00
1974,202100045805,1,2,1,3,48.77179,2.49019,2021-03-30 16:05:00
1975,202100045806,1,2,1,3,48.7629303844,2.403707656,2021-03-31 09:30:00
1976,202100045881,1,1,1,5,48.77563,2.34653,2021-03-31 18:00:00
1977,202100045886,3,1,1,6,48.8165584712,2.4494408898,2021-03-30 21:00:00
1978,202100045895,1,1,1,2,48.81719,2.43047,2021-03-29 16:40:00
1979,202100045897,5,1,1,2,48.8359,2.5469,2021-01-19 20:00:00
1980,202100045901,1,2,2,1,48.811891,2.381951,2021-03-25 08:55:00
1981,202100045988,1,2,1,6,48.845107,2.488953,2021-03-29 17:50:00
1982,202100045989,5,2,1,3,48.78737,2.35418,2021-03-30 22:00:00
1983,202100045990,1,2,1,3,48.798329,2.542664,2021-03-30 09:20:00
1984,202100045991,1,2,1,3,48.78804,2.53976,2021-03-29 10:20:00
1985,202100046055,1,1,1,2,48.82748,2.4702,2021-03-30 17:50:00
1986,202100046057,1,1,1,4,48.81674,2.44706,2021-03-29 18:30:00
1987,202100046143,1,2,1,3,48.80439,2.43252,2021-03-28 17:46:00
1988,202100046144,1,2,1,3,48.81227,2.37401,2021-03-29 18:30:00
1989,202100046145,1,2,1,2,48.81555,2.3933,2021-03-29 13:00:00
1990,202100046146,5,2,1,3,48.85398,2.49307,2021-03-29 00:30:00
1991,202100046147,1,2,1,3,48.823178481,2.4198211174,2021-03-29 19:30:00
1992,202100046207,1,1,1,6,48.7706,2.38576,2021-03-29 07:30:00
1993,202100046247,1,2,1,2,48.837867,2.41797,2021-03-28 18:10:00
1994,202100046248,1,2,1,3,48.748288,2.435474,2021-03-28 15:00:00
1995,202100046249,1,2,1,2,48.8510959666,2.5129723549,2021-03-28 18:50:00
1996,202100046250,1,2,1,6,48.80392,2.38432,2021-03-28 11:15:00
